period,sex,age,unemployed_1000,unemployment_rate_percent
2025Q1,Both sexes,15-74,124,4.1
2025Q2,Both sexes,15-74,153,5.0
2025Q3,Both sexes,15-74,141,4.6
2025Q4,Both sexes,15-74,127,4.2
2026Q1,Both sexes,15-74,146,4.8
2026Q2,Both sexes,15-74,147,4.8
